task_id	hash	native_id	process	tag	name	status	exit	submit	module	cpus	memory	attempt	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
11	c0/2e6ca2	2481337	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S222	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S222)	COMPLETED	0	2026-08-03 01:38:20.368	-	1	1 GB	1	804ms	45ms	36.6%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	112.7 KB	947 B
5	04/184fd8	2481128	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S57	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S57)	COMPLETED	0	2026-08-03 01:38:20.234	-	1	1 GB	1	985ms	35ms	51.7%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
10	6b/9f1069	2481297	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S204	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S204)	COMPLETED	0	2026-08-03 01:38:20.347	-	1	1 GB	1	901ms	29ms	36.0%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
16	c7/d629cf	2482442	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S360)	COMPLETED	0	2026-08-03 01:38:20.879	-	1	1 GB	1	451ms	24ms	75.5%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	112.6 KB	947 B
18	16/416970	2482654	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S155)	COMPLETED	0	2026-08-03 01:38:20.947	-	1	1 GB	1	1.4s	24ms	78.0%	0.0%	0	0	0	0	118 KB	968 B
20	37/132e94	2482815	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S203)	COMPLETED	0	2026-08-03 01:38:20.986	-	1	1 GB	1	1.5s	21ms	88.2%	0.0%	0	0	0	0	118 KB	968 B
17	27/4db90f	2482748	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S104)	COMPLETED	0	2026-08-03 01:38:20.970	-	1	1 GB	1	1.5s	23ms	52.3%	0.0%	0	0	0	0	118 KB	968 B
26	02/1c7aa3	2484018	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S240	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S240)	COMPLETED	0	2026-08-03 01:38:21.225	-	1	1 GB	1	1.3s	23ms	50.8%	0.0%	0	0	0	0	118 KB	968 B
19	9c/c2a7ec	2482794	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S174	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S174)	COMPLETED	0	2026-08-03 01:38:20.979	-	1	1 GB	1	1.6s	21ms	82.2%	0.0%	0	0	0	0	118 KB	968 B
27	10/ebfcfe	2484095	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S309	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S309)	COMPLETED	0	2026-08-03 01:38:21.254	-	1	1 GB	1	1.3s	29ms	60.0%	0.0%	0	0	0	0	118 KB	968 B
21	8e/b746ae	2482869	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S222	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S222)	COMPLETED	0	2026-08-03 01:38:21.001	-	1	1 GB	1	1.7s	30ms	32.1%	0.0%	0	0	0	0	112.6 KB	947 B
22	99/a9ae63	2483531	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S140	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S140)	COMPLETED	0	2026-08-03 01:38:21.110	-	1	1 GB	1	1.6s	32ms	37.1%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	112.7 KB	947 B
25	37/6865db	2483841	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S281	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S281)	COMPLETED	0	2026-08-03 01:38:21.179	-	1	1 GB	1	1.6s	44ms	43.9%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
24	69/93f7f3	2483700	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S257	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S257)	COMPLETED	0	2026-08-03 01:38:21.147	-	1	1 GB	1	1.6s	38ms	29.6%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
28	80/69ad8c	2484311	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S357	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S357)	COMPLETED	0	2026-08-03 01:38:21.337	-	1	1 GB	1	1.4s	46ms	40.9%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
30	bd/6ff747	2484747	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S378	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S378)	COMPLETED	0	2026-08-03 01:38:22.337	-	1	1 GB	1	451ms	34ms	46.5%	0.0%	0	0	0	0	118 KB	968 B
23	d4/0a394a	2483608	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S208	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S208)	COMPLETED	0	2026-08-03 01:38:21.126	-	1	1 GB	1	1.7s	43ms	36.2%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
31	c6/1fd6a0	2485439	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S63	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S63)	COMPLETED	0	2026-08-03 01:38:22.477	-	1	1 GB	1	424ms	23ms	54.6%	0.0%	0	0	0	0	118 KB	968 B
29	da/2e78ca	2485363	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S382	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S382)	COMPLETED	0	2026-08-03 01:38:22.460	-	1	1 GB	1	491ms	28ms	48.3%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
32	4f/603017	2485688	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S112)	COMPLETED	0	2026-08-03 01:38:22.526	-	1	1 GB	1	1.4s	15ms	71.8%	0.0%	0	0	0	0	118 KB	968 B
33	ad/7bcbe6	2485842	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S137	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S137)	COMPLETED	0	2026-08-03 01:38:22.558	-	1	1 GB	1	1.4s	15ms	99.7%	0.0%	0	0	0	0	118 KB	968 B
34	45/c2a6dd	2485891	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S240	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S240)	COMPLETED	0	2026-08-03 01:38:22.568	-	1	1 GB	1	1.4s	18ms	61.5%	0.0%	0	0	0	0	118 KB	968 B
37	69/1fc72b	2486646	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S93	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S93)	COMPLETED	0	2026-08-03 01:38:22.743	-	1	1 GB	1	1.3s	22ms	76.0%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	112.6 KB	947 B
35	e2/6985c1	2486360	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S20	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S20)	COMPLETED	0	2026-08-03 01:38:22.671	-	1	1 GB	1	1.4s	19ms	87.3%	0.0%	0	0	0	0	118 KB	968 B
36	15/10551c	2486479	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S68	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S68)	COMPLETED	0	2026-08-03 01:38:22.705	-	1	1 GB	1	1.4s	22ms	74.2%	0.0%	0	0	0	0	118 KB	968 B
40	ba/600637	2487143	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S8)	COMPLETED	0	2026-08-03 01:38:22.958	-	2	3 GB	1	3.8s	2s	118.7%	0.0%	252.9 MB	6 GB	252.9 MB	6.1 GB	11.8 MB	2.5 MB
38	97/4b01eb	2486743	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S76)	COMPLETED	0	2026-08-03 01:38:22.777	-	2	3 GB	1	4s	2s	118.5%	0.0%	252.1 MB	6 GB	252.1 MB	6 GB	11.6 MB	2.5 MB
42	0f/607626	2488069	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S313	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S313)	COMPLETED	0	2026-08-03 01:38:24.047	-	2	3 GB	1	3.1s	3s	135.1%	0.0%	271.1 MB	6 GB	271.1 MB	6.1 GB	11.1 MB	2.5 MB
43	36/460851	2489466	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S294	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S294)	COMPLETED	0	2026-08-03 01:38:26.797	-	2	3 GB	1	2.9s	2s	117.3%	0.0%	250.6 MB	6 GB	250.6 MB	6 GB	11.1 MB	2.5 MB
48	36/fb3b3d	2489805	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S242	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S242)	COMPLETED	0	2026-08-03 01:38:27.158	-	2	3 GB	1	2.9s	3s	136.2%	0.0%	282.2 MB	6 GB	282.2 MB	6.1 GB	11.1 MB	2.5 MB
46	e3/2fc79c	2490592	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S175	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S175)	COMPLETED	0	2026-08-03 01:38:29.734	-	2	3 GB	1	2.8s	3s	132.3%	0.0%	256.6 MB	6 GB	256.6 MB	6.1 GB	11.8 MB	2.5 MB
39	26/0130e6	2486825	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S76)	COMPLETED	0	2026-08-03 01:38:22.819	-	2	3 GB	1	10.7s	9.4s	108.6%	0.0%	738.8 MB	2.5 GB	738.8 MB	2.5 GB	41.5 MB	533.3 KB
45	99/3fffa6	2488454	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S294	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S294)	COMPLETED	0	2026-08-03 01:38:24.138	-	2	3 GB	1	9.5s	9s	107.4%	0.0%	722.1 MB	2.4 GB	722.1 MB	2.4 GB	40.9 MB	93.7 KB
41	51/d0f39c	2487729	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S8)	COMPLETED	0	2026-08-03 01:38:23.973	-	2	3 GB	1	10.6s	10.2s	107.5%	0.0%	721.3 MB	2.4 GB	721.3 MB	2.4 GB	41.6 MB	482.4 KB
50	f1/f603f7	2491750	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S155	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S155)	COMPLETED	0	2026-08-03 01:38:33.526	-	2	3 GB	1	3s	3s	137.5%	0.0%	262.6 MB	6 GB	262.6 MB	6 GB	11.7 MB	2.5 MB
44	ee/a91498	2489462	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S313	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S313)	COMPLETED	0	2026-08-03 01:38:26.789	-	2	3 GB	1	10.3s	10s	108.9%	0.0%	722.1 MB	2.4 GB	722.1 MB	2.4 GB	40.9 MB	85.5 KB
53	ad/255dee	2492233	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S105	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S105)	COMPLETED	0	2026-08-03 01:38:34.557	-	2	3 GB	1	2.8s	3s	155.4%	0.0%	283.8 MB	6 GB	283.8 MB	6.1 GB	11.7 MB	2.5 MB
47	fb/fe9a61	2490778	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S175	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S175)	COMPLETED	0	2026-08-03 01:38:30.113	-	2	3 GB	1	9.2s	9s	108.0%	0.0%	722.4 MB	2.4 GB	722.4 MB	2.4 GB	41.6 MB	338.6 KB
54	7f/a7ba26	2493426	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S341	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S341)	COMPLETED	0	2026-08-03 01:38:37.388	-	2	3 GB	1	2.9s	3s	120.7%	0.0%	252.2 MB	6 GB	252.2 MB	6.1 GB	11.1 MB	2.5 MB
56	35/98327a	2493943	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S222	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S222)	COMPLETED	0	2026-08-03 01:38:39.369	-	2	3 GB	1	2.8s	3s	161.5%	0.0%	293.5 MB	6 GB	293.5 MB	6 GB	11.6 MB	2.5 MB
49	a5/94da9d	2491440	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S242	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S242)	COMPLETED	0	2026-08-03 01:38:32.537	-	2	3 GB	1	9.9s	9.5s	107.4%	0.0%	723.2 MB	2.4 GB	723.2 MB	2.4 GB	40.9 MB	66.3 KB
51	e2/201af5	2491838	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S155	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S155)	COMPLETED	0	2026-08-03 01:38:33.678	-	2	3 GB	1	9.9s	9.5s	108.8%	0.0%	730.5 MB	2.5 GB	730.5 MB	2.5 GB	41.5 MB	310 KB
58	80/4b8708	2495144	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S57	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S57)	COMPLETED	0	2026-08-03 01:38:42.203	-	2	3 GB	1	2.9s	3s	124.3%	0.0%	250.4 MB	6 GB	251.5 MB	6 GB	11.8 MB	2.5 MB
55	6f/25c3f0	2493167	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S341	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S341)	COMPLETED	0	2026-08-03 01:38:37.064	-	2	3 GB	1	8.9s	8.6s	108.5%	0.0%	723 MB	2.4 GB	723 MB	2.4 GB	40.9 MB	84 KB
52	95/235178	2492873	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S105	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S105)	COMPLETED	0	2026-08-03 01:38:36.501	-	2	3 GB	1	10.5s	10.1s	106.4%	0.0%	719.4 MB	2.4 GB	719.4 MB	2.4 GB	41.5 MB	538.6 KB
61	a5/9319ba	2496242	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S204	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S204)	COMPLETED	0	2026-08-03 01:38:45.120	-	2	3 GB	1	2.8s	2s	134.8%	0.0%	265 MB	6 GB	265.9 MB	6.1 GB	11.5 MB	2.5 MB
62	1e/9b6933	2496513	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S360)	COMPLETED	0	2026-08-03 01:38:45.983	-	2	3 GB	1	2.8s	2s	142.2%	0.0%	279 MB	6 GB	279 MB	6.1 GB	11.1 MB	2.5 MB
57	a6/f4e7a2	2494300	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S222	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S222)	COMPLETED	0	2026-08-03 01:38:40.307	-	2	3 GB	1	9.6s	9.3s	109.1%	0.0%	730.2 MB	2.5 GB	730.2 MB	2.5 GB	41.4 MB	280 KB
59	e5/5d4adc	2495229	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S57	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S57)	COMPLETED	0	2026-08-03 01:38:42.402	-	2	3 GB	1	9s	8.7s	111.0%	0.0%	734.8 MB	2.5 GB	734.8 MB	2.5 GB	41.6 MB	594.3 KB
64	b8/58cbbe	2497602	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S155)	COMPLETED	0	2026-08-03 01:38:48.819	-	2	3 GB	1	2.8s	2s	115.2%	0.0%	249 MB	6 GB	249 MB	6 GB	11.1 MB	2.6 MB
60	cb/60e106	2495704	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S204	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S204)	COMPLETED	0	2026-08-03 01:38:43.545	-	2	3 GB	1	10.2s	9.9s	108.0%	0.0%	722.3 MB	2.4 GB	722.3 MB	2.4 GB	41.3 MB	257.5 KB
66	a3/a9e614	2498386	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S203)	COMPLETED	0	2026-08-03 01:38:51.427	-	2	3 GB	1	2.9s	3s	136.7%	0.0%	285.4 MB	6 GB	285.4 MB	6.1 GB	11.2 MB	2.5 MB
63	c8/550010	2496868	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S360)	COMPLETED	0	2026-08-03 01:38:46.980	-	2	3 GB	1	8.9s	8.6s	110.0%	0.0%	723.9 MB	2.4 GB	723.9 MB	2.4 GB	40.9 MB	87.1 KB
68	2f/a05ff2	2499141	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S104)	COMPLETED	0	2026-08-03 01:38:53.782	-	2	3 GB	1	2.8s	2s	132.9%	0.0%	268.2 MB	6 GB	268.2 MB	6.1 GB	11.2 MB	2.5 MB
70	42/cce7b3	2499412	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S240	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S240)	COMPLETED	0	2026-08-03 01:38:54.365	-	2	3 GB	1	2.9s	3s	149.3%	0.0%	281.2 MB	6 GB	281.2 MB	6.1 GB	11.8 MB	2.5 MB
65	02/cd18d4	2497273	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S155)	COMPLETED	0	2026-08-03 01:38:47.942	-	2	3 GB	1	9.7s	9.3s	108.3%	0.0%	727.8 MB	2.5 GB	727.8 MB	2.5 GB	40.9 MB	113.5 KB
67	04/afa0e6	2497924	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S203)	COMPLETED	0	2026-08-03 01:38:49.919	-	2	3 GB	1	10s	9.7s	107.3%	0.0%	722.5 MB	2.4 GB	722.5 MB	2.4 GB	40.9 MB	133.4 KB
72	ee/9a3052	2500522	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S174	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S174)	COMPLETED	0	2026-08-03 01:38:57.234	-	2	3 GB	1	2.8s	3s	118.3%	0.0%	246.7 MB	6 GB	248 MB	6 GB	11.1 MB	2.5 MB
74	ae/6c9441	2500768	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S309	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S309)	COMPLETED	0	2026-08-03 01:38:57.635	-	2	3 GB	1	2.9s	3s	144.2%	0.0%	289.9 MB	6 GB	289.9 MB	6 GB	11.2 MB	2.6 MB
69	80/7519ca	2498520	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S104)	COMPLETED	0	2026-08-03 01:38:51.628	-	2	3 GB	1	9.6s	9.2s	109.3%	0.0%	723.5 MB	2.4 GB	723.5 MB	2.4 GB	41 MB	142.3 KB
76	fd/8e7044	2501886	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S222	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S222)	COMPLETED	0	2026-08-03 01:39:00.509	-	2	3 GB	1	2.9s	3s	120.1%	0.0%	253 MB	6 GB	254.9 MB	6 GB	11.2 MB	2.6 MB
