task_id	hash	native_id	process	tag	name	status	exit	submit	module	cpus	memory	attempt	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
71	ba/6f3c34	1378415	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S203)	COMPLETED	0	2026-08-03 02:02:04.405	-	2	3 GB	1	9.6s	9.2s	106.6%	0.0%	725.5 MB	2.4 GB	725.5 MB	2.4 GB	40.9 MB	133.4 KB
79	e2/521587	1380932	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S240	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S240)	COMPLETED	0	2026-08-03 02:02:11.206	-	2	3 GB	1	2.9s	3s	125.9%	0.0%	256.1 MB	6 GB	256.1 MB	6.1 GB	11.8 MB	2.5 MB
80	a2/e31055	1382036	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S281	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S281)	COMPLETED	0	2026-08-03 02:02:14.012	-	2	3 GB	1	2.9s	2s	127.5%	0.0%	258.6 MB	6 GB	258.6 MB	6 GB	11.6 MB	2.5 MB
82	42/00a0f0	1382119	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S309	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S309)	COMPLETED	0	2026-08-03 02:02:14.137	-	2	3 GB	1	2.8s	2s	147.0%	0.0%	281.9 MB	6 GB	281.9 MB	6.1 GB	11.2 MB	2.6 MB
74	21/e4583f	1379743	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S140	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S140)	COMPLETED	0	2026-08-03 02:02:08.409	-	2	3 GB	1	9.7s	9.4s	110.5%	0.0%	721.2 MB	2.4 GB	721.2 MB	2.4 GB	41.4 MB	446.2 KB
76	03/5a4958	1380440	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S208	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S208)	COMPLETED	0	2026-08-03 02:02:10.391	-	2	3 GB	1	9.8s	9.5s	110.6%	0.0%	741.5 MB	2.5 GB	741.5 MB	2.5 GB	41.5 MB	586.8 KB
85	28/481c07	1383440	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S357	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S357)	COMPLETED	0	2026-08-03 02:02:18.116	-	2	3 GB	1	2.8s	2s	147.9%	0.0%	299.5 MB	6 GB	299.5 MB	6.1 GB	11.4 MB	2.6 MB
86	40/96e4db	1383929	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S257	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S257)	COMPLETED	0	2026-08-03 02:02:20.156	-	2	3 GB	1	2.8s	2s	126.2%	0.0%	264.3 MB	6 GB	264.3 MB	6.1 GB	11.5 MB	2.5 MB
81	3a/37a2a8	1381686	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S281	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S281)	COMPLETED	0	2026-08-03 02:02:13.641	-	2	3 GB	1	9.4s	9.1s	111.4%	0.0%	721.2 MB	2.4 GB	721.2 MB	2.4 GB	41.4 MB	460.1 KB
78	d2/bcab5e	1381525	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S240	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S240)	COMPLETED	0	2026-08-03 02:02:13.470	-	2	3 GB	1	10.2s	9.9s	108.4%	0.0%	720.6 MB	2.4 GB	720.6 MB	2.4 GB	41.6 MB	362.8 KB
88	0e/18d538	1384912	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S382	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S382)	COMPLETED	0	2026-08-03 02:02:23.088	-	2	3 GB	1	2.9s	2s	142.5%	0.0%	289.4 MB	6 GB	289.4 MB	6.1 GB	11.7 MB	2.6 MB
83	ea/e6ae09	1382949	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S309	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S309)	COMPLETED	0	2026-08-03 02:02:16.913	-	2	3 GB	1	9.3s	9s	109.6%	0.0%	724.2 MB	2.4 GB	724.2 MB	2.4 GB	41 MB	120.2 KB
84	6a/01245c	1383007	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S357	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S357)	COMPLETED	0	2026-08-03 02:02:16.992	-	2	3 GB	1	9.8s	9.4s	107.4%	0.0%	730.6 MB	2.5 GB	732.3 MB	2.5 GB	41.2 MB	190.2 KB
90	ec/0d0352	1385875	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S378	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S378)	COMPLETED	0	2026-08-03 02:02:26.011	-	2	3 GB	1	2.9s	2s	131.9%	0.0%	280.9 MB	6 GB	280.9 MB	6 GB	11.1 MB	2.5 MB
93	f8/646308	1386314	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L4S112	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L4S112)	COMPLETED	0	2026-08-03 02:02:26.767	-	2	3 GB	1	2.8s	2s	133.0%	0.0%	276.2 MB	6 GB	276.2 MB	6 GB	12.2 MB	2.5 MB
87	57/74d69f	1384283	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S257	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S257)	COMPLETED	0	2026-08-03 02:02:20.930	-	2	3 GB	1	9.9s	9.6s	109.1%	0.0%	730.9 MB	2.5 GB	732.4 MB	2.5 GB	41.3 MB	433.5 KB
89	68/4cf029	1384851	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S382	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S382)	COMPLETED	0	2026-08-03 02:02:22.958	-	2	3 GB	1	9.6s	9.3s	108.9%	0.0%	733 MB	2.5 GB	733 MB	2.5 GB	41.5 MB	326.1 KB
94	ae/62bd52	1386945	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L4S137	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L4S137)	COMPLETED	0	2026-08-03 02:02:28.938	-	2	3 GB	1	3.8s	3s	107.6%	0.0%	301 MB	6 GB	301 MB	6.1 GB	12.4 MB	2.5 MB
91	1a/357295	1385296	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S378	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S378)	COMPLETED	0	2026-08-03 02:02:23.689	-	2	3 GB	1	9.4s	9s	108.9%	0.0%	722.3 MB	2.4 GB	722.3 MB	2.4 GB	40.9 MB	93.2 KB
96	e4/2ad1db	1387679	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L4S63	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L4S63)	COMPLETED	0	2026-08-03 02:02:30.789	-	2	3 GB	1	2.8s	2s	161.5%	0.0%	304.7 MB	6 GB	304.7 MB	6 GB	12.3 MB	2.5 MB
92	16/fefd22	1385974	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L4S112	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L4S112)	COMPLETED	0	2026-08-03 02:02:26.200	-	2	3 GB	1	9.3s	9s	109.5%	0.0%	722.5 MB	2.4 GB	722.5 MB	2.4 GB	42 MB	606 KB
98	60/9ad2e7	1388571	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S240	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S240)	COMPLETED	0	2026-08-03 02:02:33.062	-	2	3 GB	1	3s	3s	126.8%	0.0%	277.2 MB	6 GB	277.2 MB	6 GB	11.1 MB	2.5 MB
100	0c/95fbc5	1388938	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L6S20	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L6S20)	COMPLETED	0	2026-08-03 02:02:33.623	-	2	3 GB	1	2.8s	3s	141.5%	0.0%	285.3 MB	6 GB	285.3 MB	6 GB	11.6 MB	2.5 MB
102	5e/285bae	1389792	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L6S93	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L6S93)	COMPLETED	0	2026-08-03 02:02:36.046	-	2	3 GB	1	2.8s	2s	142.8%	0.0%	290 MB	6 GB	290 MB	6 GB	11.7 MB	2.5 MB
95	aa/196c23	1387328	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L4S137	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L4S137)	COMPLETED	0	2026-08-03 02:02:29.580	-	2	3 GB	1	9.6s	9.3s	108.9%	0.0%	742.5 MB	2.5 GB	748.3 MB	2.5 GB	42.1 MB	701.1 KB
104	c2/3b7017	1390636	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L6S68	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L6S68)	COMPLETED	0	2026-08-03 02:02:38.859	-	2	3 GB	1	2.8s	2s	125.6%	0.0%	257.1 MB	6 GB	257.1 MB	6.1 GB	11.6 MB	2.5 MB
99	d0/dbd4f7	1388373	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S240	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S240)	COMPLETED	0	2026-08-03 02:02:32.774	-	2	3 GB	1	9.3s	9s	111.5%	0.0%	722.6 MB	2.4 GB	722.6 MB	2.4 GB	40.9 MB	111.9 KB
97	3b/b03668	1388229	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L4S63	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L4S63)	COMPLETED	0	2026-08-03 02:02:32.522	-	2	3 GB	1	9.6s	9.3s	109.3%	0.0%	723.4 MB	2.4 GB	723.4 MB	2.4 GB	42.1 MB	708.6 KB
101	b5/8b2a33	1389500	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L6S20	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L6S20)	COMPLETED	0	2026-08-03 02:02:35.528	-	2	3 GB	1	8.8s	8.5s	111.2%	0.0%	738.1 MB	2.5 GB	738.1 MB	2.5 GB	41.4 MB	432 KB
103	f2/1137ba	1390051	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L6S93	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L6S93)	COMPLETED	0	2026-08-03 02:02:36.420	-	2	3 GB	1	9.3s	9s	107.8%	0.0%	723.9 MB	2.4 GB	723.9 MB	2.4 GB	41.5 MB	484.5 KB
105	9d/6a7dd1	1390884	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L6S68	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L6S68)	COMPLETED	0	2026-08-03 02:02:39.206	-	2	3 GB	1	8.8s	8.5s	109.0%	0.0%	732.8 MB	2.5 GB	734.5 MB	2.5 GB	41.4 MB	387.1 KB
108	81/fc1719	1392349	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR	1	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (1)	COMPLETED	0	2026-08-03 02:02:48.047	-	6	6 GB	1	22.7s	22.3s	180.1%	0.1%	1.1 GB	3.6 GB	1.1 GB	3.6 GB	51.8 MB	588.2 KB
106	ce/23b7f7	1391527	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1	single_end	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (single_end)	COMPLETED	0	2026-08-03 02:02:41.696	-	2	3 GB	1	56.3s	55.9s	103.3%	0.1%	1.9 GB	5.4 GB	2 GB	5.4 GB	91.3 MB	10.1 MB
107	82/6ff5bf	1392346	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2	single_end	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (single_end)	COMPLETED	0	2026-08-03 02:02:48.041	-	2	3 GB	1	52.6s	52.1s	103.4%	0.0%	2 GB	5.5 GB	2 GB	5.5 GB	71.1 MB	7.7 MB
109	b3/4accef	1394807	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING	1	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (1)	COMPLETED	0	2026-08-03 02:03:37.957	-	10	20 GB	1	12.3s	11.9s	153.2%	0.0%	833.8 MB	3.3 GB	841.6 MB	3.3 GB	51.2 MB	1.8 MB
110	3c/b94493	1395520	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA	1	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (1)	COMPLETED	0	2026-08-03 02:03:50.329	-	6	6 GB	1	8.4s	8.1s	120.7%	0.0%	583.8 MB	2.2 GB	583.8 MB	2.2 GB	40.5 MB	23 KB
111	ae/1a50d5	1395908	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_STATS	1	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_STATS (1)	COMPLETED	0	2026-08-03 02:03:58.738	-	2	3 GB	1	7.7s	7.3s	118.6%	0.0%	747 MB	2.4 GB	747 MB	2.4 GB	42.3 MB	1.7 KB
112	61/7e8943	1396688	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE	-	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE	COMPLETED	0	2026-08-03 02:04:06.507	-	2	3 GB	1	7.2s	6.9s	120.4%	0.0%	587.1 MB	2.2 GB	587.1 MB	2.2 GB	40.6 MB	388.3 KB
113	1d/88fc8d	1397084	NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES	-	NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES (1)	COMPLETED	0	2026-08-03 02:04:13.684	-	1	1 GB	1	622ms	1s	450.2%	0.0%	2.6 MB	5.4 MB	2.6 MB	5.4 MB	5.9 MB	81 KB
119	d8/be599e	1397693	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL	metadata.tsv	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (metadata.tsv)	COMPLETED	0	2026-08-03 02:04:15.337	-	1	1 GB	1	815ms	494ms	195.2%	0.0%	2.6 MB	52.1 MB	2.6 MB	52.1 MB	6.1 MB	1.3 KB
118	3f/b6cbc2	1397691	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE	metadata.tsv	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (metadata.tsv)	COMPLETED	0	2026-08-03 02:04:15.330	-	1	1 GB	1	821ms	516ms	249.9%	0.0%	3.5 MB	52.1 MB	3.5 MB	52.1 MB	6.1 MB	1.3 KB
114	f1/ec1ebb	1397089	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAP	ASV_seqs.fasta	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAP (ASV_seqs.fasta)	COMPLETED	0	2026-08-03 02:04:13.690	-	2	3 GB	1	7.3s	7s	97.2%	0.0%	26.2 MB	110.2 MB	26.2 MB	173.1 MB	8.1 MB	3.2 MB
120	15/0c8113	1399652	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY	-	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY	COMPLETED	0	2026-08-03 02:04:22.032	-	1	1 GB	1	1.4s	0ms	77.3%	0.0%	3.5 MB	30.1 MB	3.5 MB	30.1 MB	402.2 KB	418 B
115	db/592223	1397080	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INSEQ	ASV_seqs.fasta	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INSEQ (ASV_seqs.fasta)	COMPLETED	0	2026-08-03 02:04:13.678	-	2	3 GB	1	28.9s	28.4s	112.5%	0.1%	1.2 GB	3.5 GB	1.2 GB	3.5 GB	198.6 MB	1.4 MB
117	88/2dc720	1397689	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INASV	table.tsv	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INASV (table.tsv)	COMPLETED	0	2026-08-03 02:04:15.323	-	2	3 GB	1	29s	28.5s	118.6%	0.1%	1.2 GB	3.5 GB	1.2 GB	3.5 GB	211.8 MB	1.6 MB
116	e4/b79b5b	1400593	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY	ASV_seqs.1.fasta,assignTaxonomy.fna	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY (ASV_seqs.1.fasta,assignTaxonomy.fna)	COMPLETED	0	2026-08-03 02:04:42.589	-	10	20 GB	1	2m 7s	2m 7s	177.0%	0.4%	7.7 GB	9.7 GB	7.7 GB	9.7 GB	1.3 GB	244.6 KB
121	16/5f37b7	1403317	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_ADDSPECIES	ASV_seqs.1.ASV_tax.silva_138_2.rds,addSpecies.fna.gz	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_ADDSPECIES (ASV_seqs.1.ASV_tax.silva_138_2.rds,addSpecies.fna.gz)	COMPLETED	0	2026-08-03 02:06:49.575	-	1	50 GB	1	31s	30.6s	104.4%	0.2%	3.7 GB	5.8 GB	4.7 GB	6.5 GB	173.9 MB	185.7 KB
122	8d/e2ffbb	1404261	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX	ASV_tax_species.silva_138_2.tsv	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX (ASV_tax_species.silva_138_2.tsv)	COMPLETED	0	2026-08-03 02:07:20.589	-	2	3 GB	1	28.4s	28s	121.6%	0.1%	1.2 GB	3.1 GB	1.2 GB	3.2 GB	204.8 MB	1.5 MB
123	68/6c210e	1405375	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA	taxa:mitochondria,chloroplast;min-freq:1;min-samples:1	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA (taxa:mitochondria,chloroplast;min-freq:1;min-samples:1)	COMPLETED	0	2026-08-03 02:07:49.014	-	2	3 GB	1	1m 2s	1m 1s	120.1%	0.1%	1.2 GB	3.1 GB	1.2 GB	3.1 GB	550.6 MB	3 MB
129	ae/eb85c4	1407577	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:PHYLOSEQ_INASV	-	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:PHYLOSEQ_INASV (1)	COMPLETED	0	2026-08-03 02:08:50.884	-	1	1 GB	1	337ms	17ms	100.3%	0.0%	0	0	0	0	374.5 KB	249.3 KB
126	60/d2c45c	1407587	NFCORE_AMPLISEQ:AMPLISEQ:FILTER_STATS	-	NFCORE_AMPLISEQ:AMPLISEQ:FILTER_STATS (1)	COMPLETED	0	2026-08-03 02:08:50.899	-	1	1 GB	1	3.5s	2s	132.6%	0.0%	43.9 MB	1.5 GB	43.9 MB	1.5 GB	21.5 MB	2 KB
130	c9/83510c	1409305	NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_FILTERTAXA	-	NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_FILTERTAXA (1)	COMPLETED	0	2026-08-03 02:08:54.463	-	1	1 GB	1	921ms	602ms	228.1%	0.0%	1.8 MB	2.7 MB	1.8 MB	2.7 MB	6 MB	2.8 KB
125	d4/895b1f	1407601	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE	rep-seqs.qza-filter-by-filtered-table.qza	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE (rep-seqs.qza-filter-by-filtered-table.qza)	COMPLETED	0	2026-08-03 02:08:50.907	-	2	3 GB	1	29.4s	28.9s	104.7%	0.1%	1.2 GB	3.6 GB	1.2 GB	3.6 GB	200.5 MB	2.2 MB
124	2c/20a783	1407643	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOT	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOT (1)	COMPLETED	0	2026-08-03 02:08:50.921	-	2	3 GB	1	32.2s	31.7s	107.8%	0.1%	1.2 GB	3.2 GB	1.2 GB	3.3 GB	263.4 MB	39 MB
128	09/1074fb	1407580	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV (1)	COMPLETED	0	2026-08-03 02:08:50.891	-	2	3 GB	1	47.7s	47.2s	113.6%	0.1%	1.2 GB	3.6 GB	1.2 GB	3.6 GB	379.2 MB	2.5 MB
133	0a/eae3f3	1414920	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_INASV_BPAVG	rel-table-ASV.tsv	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_INASV_BPAVG (rel-table-ASV.tsv)	COMPLETED	0	2026-08-03 02:09:38.636	-	2	3 GB	1	30.1s	29.7s	115.0%	0.1%	1.2 GB	3.5 GB	1.2 GB	3.5 GB	212 MB	1.7 MB
134	ce/ad08a0	1417706	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_FEATURETABLE_GROUP	body_site	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_FEATURETABLE_GROUP (body_site)	COMPLETED	0	2026-08-03 02:10:08.798	-	1	1 GB	1	47.5s	47s	110.0%	0.1%	1.2 GB	3.1 GB	1.2 GB	3.1 GB	371.2 MB	2.2 MB
132	41/256450	1413149	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_TREE	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_TREE (1)	COMPLETED	0	2026-08-03 02:09:23.176	-	6	6 GB	1	1m 46s	1m 45s	116.0%	0.1%	1.2 GB	3.1 GB	1.2 GB	3.1 GB	886.4 MB	7.1 MB
138	c1/f41d57	1423038	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:TREESUMMARIZEDEXPERIMENT	dada2	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:TREESUMMARIZEDEXPERIMENT (dada2)	COMPLETED	0	2026-08-03 02:11:08.875	-	2	3 GB	1	8.4s	8s	109.6%	0.0%	696.4 MB	2.3 GB	699.9 MB	2.3 GB	39.2 MB	135.2 KB
135	0f/47cb28	1421423	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_BPAVG	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_BPAVG (1)	COMPLETED	0	2026-08-03 02:10:56.280	-	2	3 GB	1	32.8s	32.4s	106.7%	0.1%	1.2 GB	3.1 GB	1.2 GB	3.1 GB	236.4 MB	12 MB
131	b0/40e469	1412506	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE (1)	COMPLETED	0	2026-08-03 02:09:20.325	-	2	3 GB	1	3m 49s	3m 49s	117.8%	0.1%	1.2 GB	3.6 GB	1.2 GB	3.6 GB	2.1 GB	12.8 MB
139	6d/79c631	1433621	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_DADA2	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_DADA2 (1)	COMPLETED	0	2026-08-03 02:13:09.764	-	1	1 GB	1	3.2s	1s	162.5%	0.0%	132.2 MB	662.7 MB	132.2 MB	662.7 MB	15.6 MB	283.1 KB
127	40/d5d2e1	1407614	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELTAX	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELTAX (1)	COMPLETED	0	2026-08-03 02:08:50.914	-	1	1 GB	1	4m 47s	4m 47s	113.1%	0.1%	1.2 GB	3.6 GB	1.2 GB	3.6 GB	2.6 GB	10.8 MB
136	37/db12b4	1425224	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_CORE	-	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_CORE (1)	COMPLETED	0	2026-08-03 02:11:29.137	-	6	6 GB	1	2m 12s	2m 11s	93.3%	0.1%	1.2 GB	4 GB	1.2 GB	4 GB	963.2 MB	50.4 MB
140	d1/8d2d04	1435573	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_ALPHA	evenness_vector	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_ALPHA (evenness_vector)	COMPLETED	0	2026-08-03 02:13:41.080	-	2	3 GB	1	35.6s	35.1s	95.1%	0.1%	1.2 GB	3.6 GB	1.2 GB	3.6 GB	230.3 MB	6.2 MB
146	0c/87c071	1435639	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_ADONIS	unweighted_unifrac_distance_matrix-body_site	NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_ADONIS (unweighted_unifrac_distance_matrix-body_site)	COMPLETED	0	2026-08-03 02:13:41.131	-	2	3 GB	1	37s	36.4s	95.8%	0.1%	1.2 GB	3.2 GB	1.2 GB	3.2 GB	246.4 MB	5.2 MB
